Timestamp,FPS,Inference_Latency_ms,Gesture_Detected
21:13:04,46.78,13.16,MUTE
21:13:04,47.01,12.87,MUTE
21:13:04,46.58,14.38,MUTE
21:13:04,45.55,19.22,MUTE
21:13:04,45.71,12.59,MUTE
21:13:04,45.54,13.83,MUTE
21:13:04,46.88,13.18,NEUTRAL
21:13:04,45.56,20.12,NEUTRAL
21:13:04,46.2,13.44,NEUTRAL
21:13:04,46.39,14.01,NEUTRAL
21:13:04,46.24,12.94,MUTE
21:13:04,45.57,13.78,MUTE
21:13:04,45.57,13.19,MUTE
21:13:04,46.39,14.39,MUTE
21:13:04,46.26,12.85,NEUTRAL
21:13:04,45.14,20.17,NEUTRAL
21:13:04,45.07,13.39,NEUTRAL
21:13:04,47.94,9.87,NEUTRAL
21:13:04,45.77,30.34,NEUTRAL
21:13:04,44.33,21.37,NEUTRAL
21:13:04,44.1,13.69,NEUTRAL
21:13:04,41.32,14.07,MUTE
21:13:04,40.98,15.84,NEUTRAL
21:13:04,40.07,17.35,NEUTRAL
21:13:04,39.89,13.22,NEUTRAL
21:13:04,40.94,14.53,MUTE
21:13:04,40.97,13.6,MUTE
21:13:04,39.19,13.79,MUTE
21:13:04,41.13,14.39,MUTE
21:13:04,42.59,13.88,MUTE
21:13:04,43.18,13.09,MUTE
21:13:05,46.32,14.11,NEUTRAL
21:13:05,47.22,12.5,NEUTRAL
21:13:05,48.32,13.96,NEUTRAL
21:13:05,47.81,12.85,NEUTRAL
21:13:05,47.85,13.8,NEUTRAL
21:13:05,44.45,13.02,VOL UP
21:13:05,43.82,16.19,VOL UP
21:13:05,43.38,16.61,VOL UP
21:13:05,42.86,16.03,VOL UP
21:13:05,42.75,13.19,VOL UP
21:13:05,39.54,13.75,VOL UP
21:13:05,38.21,18.83,VOL UP
21:13:05,38.2,13.16,VOL UP
21:13:05,38.67,14.53,VOL UP
21:13:05,38.76,13.13,VOL UP
21:13:05,38.59,20.46,VOL UP
21:13:05,38.18,18.69,VOL UP
21:13:05,38.35,14.31,VOL UP
21:13:05,38.37,14.28,VOL UP
21:13:05,37.01,18.47,VOL UP
21:13:05,36.93,15.65,VOL UP
21:13:05,37.18,16.83,NEUTRAL
21:13:05,37.0,14.05,NEUTRAL
21:13:05,37.55,12.68,NEUTRAL
21:13:05,37.68,13.4,NEUTRAL
21:13:05,37.8,16.04,VOL UP
21:13:05,38.63,14.46,VOL UP
21:13:05,38.1,18.64,VOL UP
21:13:05,38.32,13.1,VOL UP
21:13:05,39.02,16.02,VOL UP
21:13:05,39.18,12.89,VOL UP
21:13:05,39.76,14.52,VOL UP
21:13:06,39.44,15.48,VOL UP
21:13:06,39.11,13.04,VOL UP
21:13:06,37.59,21.57,VOL UP
21:13:06,37.62,13.69,VOL UP
21:13:06,37.55,15.26,VOL UP
21:13:06,38.13,15.31,VOL UP
21:13:06,38.16,14.49,VOL UP
21:13:06,38.58,13.94,VOL UP
21:13:06,38.52,13.21,VOL UP
21:13:06,38.2,16.26,VOL UP
21:13:06,38.81,12.62,VOL UP
21:13:06,38.95,12.71,VOL UP
21:13:06,39.0,21.33,VOL UP
21:13:06,38.91,13.89,VOL UP
21:13:06,38.66,16.01,VOL UP
21:13:06,38.79,15.15,NEUTRAL
21:13:06,39.06,13.6,NEUTRAL
21:13:06,38.38,16.07,NEUTRAL
21:13:06,41.67,13.54,NEUTRAL
21:13:06,42.44,12.84,NEUTRAL
21:13:06,41.18,20.64,NEUTRAL
21:13:06,37.82,12.6,MUTE
